source, target, weight
107 , 10 , 1
107 , 42 , 1
107 , 136 , 1
107 , 49 , 1
107 , 178 , 1
107 , 86 , 1
107 , 72 , 1
107 , 96 , 1
107 , 198 , 1
107 , 113 , 1
107 , 171 , 1
107 , 45 , 1
107 , 107 , 1
107 , 80 , 1
107 , 152 , 1
107 , 127 , 1
107 , 41 , 1
108 , 132 , 1
108 , 108 , 1
108 , 95 , 1
108 , 143 , 1
108 , 66 , 1
108 , 35 , 1
108 , 0 , 1
109 , 218 , 1
109 , 109 , 1
109 , 118 , 1
109 , 185 , 1
109 , 18 , 1
109 , 107 , 1
109 , 46 , 1
109 , 139 , 1
109 , 9 , 1
109 , 52 , 1
109 , 61 , 1
109 , 156 , 1
109 , 44 , 1
109 , 217 , 1
109 , 59 , 1
109 , 104 , 1
109 , 216 , 1
109 , 180 , 1
109 , 28 , 1
109 , 123 , 1
109 , 77 , 1
109 , 81 , 1
109 , 55 , 1
109 , 92 , 1
109 , 47 , 1
109 , 174 , 1
110 , 110 , 1
110 , 159 , 1
110 , 81 , 1
110 , 215 , 1
111 , 169 , 1
111 , 136 , 1
111 , 139 , 1
111 , 81 , 1
111 , 10 , 1
111 , 55 , 1
111 , 99 , 1
111 , 58 , 1
111 , 45 , 1
111 , 26 , 1
111 , 118 , 1
111 , 218 , 1
111 , 164 , 1
111 , 82 , 1
111 , 28 , 1
111 , 9 , 1
111 , 44 , 1
111 , 77 , 1
111 , 123 , 1
112 , 91 , 1
112 , 85 , 1
112 , 112 , 1
112 , 75 , 1
113 , 169 , 1
113 , 152 , 1
113 , 55 , 1
113 , 174 , 1
113 , 72 , 1
113 , 107 , 1
113 , 113 , 1
113 , 94 , 1
113 , 67 , 1
113 , 53 , 1
113 , 171 , 1
114 , 114 , 1
114 , 93 , 1
114 , 209 , 1
114 , 78 , 1
114 , 18 , 1
114 , 137 , 1
114 , 178 , 1
114 , 218 , 1
114 , 123 , 1
114 , 171 , 1
114 , 141 , 1
114 , 49 , 1
114 , 26 , 1
114 , 169 , 1
114 , 115 , 1
115 , 49 , 1
115 , 66 , 1
115 , 53 , 1
115 , 139 , 1
115 , 137 , 1
115 , 115 , 1
115 , 171 , 1
115 , 178 , 1
115 , 18 , 1
115 , 141 , 1
115 , 124 , 1
115 , 96 , 1
115 , 174 , 1
115 , 33 , 1
115 , 12 , 1
115 , 209 , 1
116 , 116 , 1
117 , 74 , 1
117 , 69 , 1
117 , 200 , 1
117 , 117 , 1
117 , 90 , 1
117 , 31 , 1
117 , 149 , 1
117 , 35 , 1
118 , 81 , 1
118 , 139 , 1
118 , 52 , 1
118 , 118 , 1
118 , 123 , 1
118 , 218 , 1
